Year,Price,ConsumerRating,ConsumerReviews,SellerRating,SellerReviews,Zipcode,DealType,ComfortRating,InteriorDesignRating,PerformanceRating,ValueForMoneyRating,ExteriorStylingRating,ReliabilityRating,MinMPG,MaxMPG,Mileage
2018,33998,4.8,232,4.7,186,94019,1,4.9,4.8,4.8,4.6,4.8,4.8,17,24,23046
2019,28998,4.7,205,3.3,7,85353,1,4.7,4.7,4.6,4.7,4.8,4.8,27,33,27911
2020,49995,4.8,56,4.3,1553,85023,1,4.9,4.8,4.9,4.7,4.9,4.9,15,24,24858
2018,29998,4.8,343,2.2,2,97317,1,4.8,4.8,4.6,4.8,4.9,4.9,27,33,8832
2018,27998,4.8,343,4.7,393,98662,2,4.8,4.8,4.6,4.8,4.9,4.9,27,33,70778
2021,51931,4.9,42,4.9,5633,80401,1,5.0,4.9,4.8,4.9,4.9,4.9,16,19,20606
2016,25988,4.6,391,4.7,1839,73069,0,4.7,4.6,4.7,4.4,4.7,4.6,15,22,135228
2019,35700,4.7,42,4.7,933,76051,1,4.8,4.6,4.7,4.5,4.7,4.7,22,27,36644
2019,38884,4.7,42,3.8,508,75035,1,4.8,4.6,4.7,4.5,4.7,4.7,22,27,21349
2012,14499,4.7,28,3.9,141,75093,1,4.7,4.7,4.5,4.5,4.9,4.6,21,29,116693
2015,51950,4.9,15,5.0,1,75201,1,4.7,4.7,5.0,4.8,4.9,5.0,16,25,29597
2021,33995,4.9,24,3.2,100,75041,0,4.9,4.8,4.9,4.8,5.0,4.8,15,23,18752
2016,18950,4.7,308,3.8,13,68117,1,4.6,4.6,4.7,4.7,4.8,4.7,24,30,57000
2015,21998,4.7,310,3.2,2,77090,2,4.7,4.6,4.7,4.7,4.7,4.8,21,34,92614
2017,29995,4.8,264,3.8,4,77063,0,4.6,4.6,4.9,4.7,4.9,4.8,16,25,78378
2017,16985,4.7,547,4.9,1083,55337,0,4.7,4.7,4.6,4.7,4.8,4.7,25,32,47061
2019,39368,4.6,363,1.0,1,72396,1,4.8,4.7,4.6,4.5,4.7,4.6,21,27,27027
2019,21998,4.8,69,4.9,2808,63141,2,4.8,4.7,4.7,4.7,4.8,4.8,28,38,29865
2018,36525,4.7,266,4.8,285,62056,0,4.9,4.8,4.6,4.5,4.8,4.6,18,27,56722
2020,27289,4.9,76,2.0,1,70001,0,4.9,4.8,4.9,4.7,4.9,4.8,20,28,41010
2019,47805,4.9,17,4.4,84,60515,1,4.9,4.9,5.0,4.6,5.0,4.8,21,29,26042
2021,49500,4.8,42,4.7,1102,60525,1,4.9,4.7,4.8,4.9,4.9,4.9,16,22,10640
2015,28850,4.5,107,4.4,72,53095,1,4.6,4.7,4.5,4.3,4.8,4.4,16,22,139597
2020,19800,4.9,169,4.3,62,53110,0,4.8,4.8,4.9,4.8,4.9,4.9,29,37,20164
2018,26884,4.7,415,3.4,12,46375,2,4.7,4.7,4.6,4.6,4.8,4.7,25,32,53043
2021,43171,4.8,63,4.5,216,47403,1,4.9,4.7,4.8,4.7,4.7,4.8,19,26,22250
2017,18550,4.7,623,4.5,1106,46168,1,4.8,4.7,4.6,4.7,4.8,4.8,21,26,93960
2021,42950,4.8,63,3.4,7,46970,1,4.9,4.7,4.8,4.7,4.7,4.8,19,26,15002
2019,34856,4.6,63,4.7,2124,45251,0,4.7,4.7,4.5,4.4,4.7,4.6,18,26,26135
2019,34888,4.6,63,4.6,1003,45014,0,4.7,4.7,4.5,4.4,4.7,4.6,18,26,17542
2015,26455,4.6,138,4.7,413,30117,1,4.4,4.5,4.6,4.5,4.8,4.8,16,21,113580
2020,36500,4.8,41,4.9,59,49228,1,4.9,4.7,4.8,4.7,4.8,4.8,18,26,29500
2018,70996,4.8,6,4.6,797,30339,2,4.7,4.8,5.0,4.5,4.7,5.0,14,19,33757
2021,55841,4.8,19,3.9,57,30274,0,4.9,4.8,4.8,4.8,4.8,4.6,21,25,26663
2021,70490,4.5,37,4.4,750,30518,1,4.6,4.7,4.4,4.3,4.7,4.3,16,20,24054
2021,68988,4.8,19,4.9,1489,30519,1,4.9,4.8,4.8,4.8,4.8,4.6,21,25,11049
2017,24950,4.6,133,3.4,85,48184,0,4.7,4.5,4.5,4.5,4.8,4.7,19,26,63014
2007,8500,4.3,135,4.6,151,43228,0,4.2,4.2,4.4,4.3,4.4,4.4,21,28,141372
2015,33895,4.6,77,4.5,169,44146,1,4.8,4.6,4.6,4.2,4.7,4.6,15,22,79436
2016,34997,4.6,391,4.9,262,15010,1,4.7,4.6,4.7,4.4,4.7,4.6,17,23,23349
2020,45996,4.9,50,4.6,1765,28227,1,4.9,4.9,4.9,4.8,4.8,4.9,20,27,15150
2019,39989,4.8,126,4.7,362,15642,0,4.9,4.7,4.9,4.7,4.9,4.9,13,17,30136
2020,34000,4.8,12,4.4,321,31406,1,4.7,4.7,4.8,4.7,4.8,4.9,19,30,47552
2021,28500,5.0,3,4.8,1047,32225,0,5.0,5.0,5.0,5.0,5.0,5.0,19,30,26893
2018,20000,4.8,546,4.8,1047,32225,1,4.7,4.7,4.8,4.8,4.9,4.8,30,39,42836
2013,39785,4.6,13,4.7,676,33950,2,4.9,4.8,4.8,4.2,4.5,4.4,17,25,45281
2020,31599,4.8,39,4.9,246,33907,0,4.9,4.7,4.7,4.6,4.8,4.9,20,27,48522
2019,58992,4.7,55,4.9,2704,27616,2,5.0,4.9,4.9,4.4,4.7,4.6,20,26,17509
2020,29449,4.8,39,4.8,226,34134,0,4.9,4.7,4.7,4.6,4.8,4.9,20,27,49926
2019,24995,4.9,275,4.8,327,21702,1,4.8,4.8,4.9,4.8,4.9,4.9,25,36,49051
2003,4388,4.2,62,4.4,77,23233,0,4.4,4.1,4.0,4.3,4.1,4.2,20,27,83368
2020,47988,4.8,76,4.6,450,23233,0,4.9,4.8,4.8,4.7,4.8,4.9,19,26,10913
2020,28933,4.7,76,4.7,1180,34982,1,4.8,4.7,4.7,4.6,4.8,4.7,22,29,21055
2019,39997,4.8,126,4.7,236,17111,1,4.9,4.7,4.9,4.7,4.9,4.9,14,18,36236
2010,19990,4.7,27,4.8,75,21211,2,4.8,4.6,4.8,4.7,4.6,4.8,16,24,97315
2019,30490,4.3,245,4.8,5038,33143,0,4.4,4.2,4.3,4.0,4.6,4.2,16,21,44844
2015,15899,4.7,107,3.4,48,33135,0,4.7,4.7,4.8,4.5,4.8,4.6,23,35,48478
2021,84888,4.9,3,4.8,213,19711,0,4.7,5.0,5.0,4.7,4.7,5.0,17,22,7484
2021,86995,4.8,6,4.7,1381,19087,0,4.8,4.8,5.0,4.3,5.0,4.7,19,24,14829
2018,22950,4.9,50,5.0,10,19015,0,4.9,4.8,4.9,4.8,4.8,5.0,23,34,31948
2018,24985,4.9,50,2.0,33,8505,2,4.9,4.8,4.9,4.8,4.8,5.0,23,34,65946
2019,38000,4.7,28,4.7,1466,7834,2,4.7,4.8,4.6,4.7,4.8,4.6,18,24,20870
2020,28459,4.8,202,4.1,365,7001,0,4.9,4.8,4.7,4.8,4.9,4.9,21,27,28466
2020,31991,4.8,202,4.8,1911,10567,1,4.9,4.8,4.7,4.8,4.9,4.9,21,27,13924
2020,65995,3.7,10,3.4,472,10475,0,3.9,3.8,4.1,3.3,3.8,4.0,127,114,9561
2019,71242,4.6,14,4.9,1638,10606,0,5.0,4.8,4.4,4.4,4.7,4.3,17,27,25046
2013,20700,4.7,140,4.7,780,10801,2,4.7,4.7,4.7,4.7,4.7,4.8,17,22,60419
2019,33750,4.8,224,3.0,42,11423,0,4.9,4.9,4.8,4.6,4.9,4.8,18,25,25815
2020,39412,4.9,50,4.0,157,11520,0,4.9,4.9,4.9,4.8,4.8,4.9,19,26,12374
2017,55863,4.7,11,3.4,237,11791,0,4.3,4.6,4.9,4.5,4.9,4.9,17,26,19847
2020,33888,4.7,123,4.4,175,11780,0,4.7,4.7,4.6,4.7,4.9,4.8,18,22,18675
2020,39900,4.9,50,5.0,41,1536,0,4.9,4.9,4.9,4.8,4.8,4.9,19,26,12304
2021,71277,4.0,15,4.8,3306,3103,1,4.1,4.2,4.3,3.7,4.2,3.8,131,117,15002
2010,9899,4.6,60,4.1,129,2379,1,4.6,4.5,4.6,4.6,4.6,4.7,17,25,97978
2018,39919,4.8,253,4.7,725,1905,1,4.8,4.7,4.7,4.7,4.9,4.9,17,20,46525
2019,26200,4.7,279,4.8,65,3878,1,4.8,4.7,4.6,4.7,4.7,4.8,26,33,30403
2018,33682,4.8,131,4.7,195,89014,1,4.8,4.8,4.7,4.6,4.9,4.8,19,26,45313
2020,73992,3.7,10,4.6,143,95020,1,3.9,3.8,4.1,3.3,3.8,4.0,127,114,12332
2019,35400,4.7,99,4.4,133,95122,1,4.7,4.7,4.8,4.3,4.8,4.6,23,30,34565
2019,31995,4.7,99,3.7,12,95129,2,4.7,4.7,4.8,4.3,4.8,4.6,23,30,57583
2012,24999,4.7,34,4.7,26,94536,2,4.7,4.6,4.4,4.6,4.9,4.9,17,22,151989
2018,26955,4.8,546,4.4,1071,94544,1,4.7,4.7,4.8,4.8,4.9,4.8,31,40,12123
2019,54998,4.7,55,4.7,760,94901,2,5.0,4.9,4.9,4.4,4.7,4.6,20,26,14950
2020,18500,4.7,233,4.4,36,85034,0,4.7,4.7,4.7,4.7,4.8,4.8,31,40,10514
2018,42727,4.8,253,4.6,1811,85260,0,4.8,4.7,4.7,4.7,4.9,4.9,17,20,39866
2020,49499,4.5,15,4.7,80,85210,1,4.7,4.7,4.5,4.3,4.7,4.3,17,23,59742
2020,34997,4.9,141,3.9,110,83672,1,4.9,4.9,4.9,4.8,4.9,4.9,21,28,60802
2020,42505,4.8,83,4.5,1519,80112,1,4.8,4.8,4.8,4.7,4.9,4.8,20,26,12090
2019,47988,4.3,245,5.0,2,80601,1,4.4,4.2,4.3,4.0,4.6,4.2,19,22,26589
2020,56500,5.0,1,4.3,97,98409,1,5.0,5.0,5.0,5.0,5.0,5.0,29,28,11559
2019,40968,4.9,82,4.7,1678,78209,1,5.0,4.9,4.9,4.8,4.9,4.9,22,29,34148
2019,43968,4.9,82,4.7,1678,78209,2,5.0,4.9,4.9,4.8,4.9,4.9,22,29,32356
2019,42962,4.8,103,4.7,1678,78209,1,4.9,4.8,4.8,4.6,4.9,4.7,23,31,15038
2020,55901,4.7,53,4.7,1455,76011,2,4.8,4.8,4.8,4.4,4.7,4.7,21,26,31831
2019,29895,4.8,230,4.0,744,75067,1,4.8,4.8,4.8,4.8,4.9,4.8,25,31,30322
2019,46991,4.8,189,4.9,826,75078,1,4.8,4.7,4.8,4.7,4.8,4.9,17,20,39855
2019,77480,5.0,5,4.3,1341,75093,1,5.0,5.0,5.0,4.8,5.0,5.0,18,25,34021
2020,30595,4.9,72,4.3,419,75080,1,4.9,4.9,4.9,4.8,5.0,4.9,19,30,33296
2021,65786,3.0,1,4.5,62,75070,1,3.0,4.0,5.0,2.0,4.0,1.0,118,107,32600
2018,24750,4.7,75,4.6,15,75150,0,4.7,4.7,4.6,4.6,4.8,4.8,17,22,32770
2020,32290,4.9,72,4.7,4219,75087,0,4.9,4.9,4.9,4.8,5.0,4.9,19,30,20396
2019,42995,4.8,425,4.7,171,57106,1,4.9,4.8,4.8,4.6,4.8,4.7,18,23,19615
2019,39521,4.9,30,4.8,162,64114,2,4.9,4.9,5.0,4.6,4.9,4.9,25,34,39669
2019,28693,4.8,540,3.7,31,77079,1,4.8,4.8,4.7,4.7,4.8,4.8,28,34,30340
2016,36995,4.7,140,4.5,212,77385,1,4.7,4.6,4.6,4.6,4.8,4.9,17,21,50116
2020,41499,4.9,50,4.4,576,77034,0,4.9,4.9,4.9,4.8,4.8,4.9,20,27,30260
2017,16823,4.8,175,4.5,15,55337,0,4.7,4.7,4.6,4.8,4.8,4.8,28,38,40060
2004,5995,4.5,47,4.9,2,55432,1,4.6,4.3,4.4,4.6,4.3,4.7,23,23,204440
2003,9995,4.8,22,4.6,383,63128,1,4.9,4.7,4.7,4.7,4.7,4.7,18,22,77792
2019,34499,4.8,540,4.9,2629,63123,1,4.8,4.8,4.7,4.7,4.8,4.8,27,33,36188
2019,37998,4.8,189,2.9,6,70809,1,4.8,4.7,4.8,4.7,4.8,4.9,17,21,37750
2019,26256,4.7,61,4.7,923,53115,2,4.8,4.8,4.8,4.7,4.7,4.8,19,28,55545
2019,81749,4.1,22,4.4,84,60515,2,4.5,4.6,4.0,3.4,4.5,3.5,15,21,27289
2008,15800,4.8,43,3.6,32,60074,0,5.0,4.9,5.0,4.6,4.8,4.6,14,20,89247
2018,21690,4.7,415,4.4,1153,60004,0,4.7,4.7,4.6,4.6,4.8,4.7,25,32,75290
2021,47990,4.8,42,4.1,1033,60031,0,4.9,4.7,4.8,4.9,4.9,4.9,16,22,17123
2020,31290,4.9,32,4.8,2069,60462,1,4.9,4.8,4.8,4.8,4.8,4.9,23,33,37033
2019,46079,4.8,189,4.7,2268,53228,1,4.8,4.7,4.8,4.7,4.8,4.9,17,20,16854
2018,28998,4.8,770,3.3,16,60477,1,4.8,4.7,4.8,4.7,4.8,4.9,23,30,17590
2019,20900,4.7,223,4.3,62,53110,0,4.7,4.8,4.7,4.7,4.8,4.8,30,38,75592
2020,53967,4.3,75,4.2,380,60642,1,4.6,4.6,4.0,3.9,4.6,4.1,19,26,31179
2019,39597,4.9,30,2.1,12,35816,1,4.9,4.9,5.0,4.6,4.9,4.9,26,36,19377
2019,47997,4.7,99,2.1,12,35816,2,4.7,4.7,4.8,4.3,4.8,4.6,20,27,33855
2021,44561,5.0,8,4.6,56,36117,2,5.0,5.0,5.0,4.9,4.9,4.9,20,28,12051
2021,44591,5.0,8,4.6,56,36117,1,5.0,5.0,5.0,4.9,4.9,4.9,20,28,13109
2019,40565,4.6,72,4.8,585,41011,1,4.8,4.8,4.6,4.5,4.7,4.6,22,27,19782
2021,52541,4.8,19,3.9,57,30274,0,4.9,4.8,4.8,4.8,4.8,4.6,21,25,6914
2018,44850,4.7,42,3.9,4,48734,2,4.8,4.9,4.6,4.4,4.7,4.8,21,30,49950
2019,36498,4.8,223,4.7,936,43040,1,4.9,4.8,4.7,4.7,4.7,4.8,19,27,36790
2019,37500,4.6,72,4.7,936,48323,0,4.8,4.8,4.6,4.5,4.7,4.6,22,27,10662
2020,13989,4.7,39,4.6,151,43228,0,4.5,4.7,4.4,4.8,4.9,4.8,30,38,14035
2019,21998,4.7,132,2.5,7,43235,1,4.7,4.7,4.6,4.7,4.7,4.8,29,38,11326
2019,18997,4.7,132,4.9,677,45601,0,4.7,4.7,4.6,4.7,4.7,4.8,29,38,43148
2015,32495,4.6,77,4.5,169,44146,2,4.8,4.6,4.6,4.2,4.7,4.6,15,22,89990
2012,25695,4.8,36,4.5,169,44146,1,4.9,4.8,4.8,4.6,4.8,4.8,15,24,59725
2020,38700,4.6,31,4.1,66,29303,1,4.7,4.5,4.6,4.6,4.6,4.5,17,23,11510
2018,18985,4.8,652,4.0,4,28205,0,4.8,4.8,4.7,4.7,4.8,4.8,30,38,87091
2019,35500,4.8,224,4.7,4644,28105,0,4.9,4.9,4.8,4.6,4.9,4.8,18,25,32858
2019,27491,4.8,230,4.6,1103,34239,0,4.8,4.8,4.8,4.8,4.9,4.8,25,31,23639
2010,8999,4.7,10,4.1,49,20152,1,4.3,4.4,4.8,4.8,4.9,4.7,18,28,94876
2016,49989,4.8,29,4.6,559,20151,2,5.0,4.9,5.0,4.5,4.9,4.7,14,19,73178
2011,19995,4.5,262,3.8,159,20111,1,4.7,4.5,4.5,4.4,4.6,4.5,0,0,141281
2004,14290,4.8,44,4.7,363,22406,2,4.8,4.9,4.9,4.8,4.7,4.9,18,25,90908
2020,47455,4.8,76,4.7,256,23235,0,4.9,4.8,4.8,4.7,4.8,4.9,19,26,17212
2016,47940,4.7,27,4.7,1195,22182,2,4.7,4.6,4.9,4.3,4.9,4.7,20,30,21603
2020,30916,4.9,22,4.9,3110,20879,1,5.0,5.0,4.9,4.9,5.0,4.9,23,31,35332
2016,18375,4.8,31,4.5,145,20601,1,4.8,4.7,4.7,4.9,4.8,4.7,40,44,72278
2017,29900,4.7,98,4.5,145,21224,0,4.6,4.7,4.9,4.5,5.0,4.4,23,31,22855
2019,30495,4.1,17,4.6,1040,33169,1,3.9,4.0,4.1,3.9,4.5,4.3,24,37,30820
2017,13899,4.7,381,3.4,48,33135,0,4.7,4.7,4.6,4.7,4.7,4.8,28,36,54898
2016,19900,4.6,114,4.0,82,18088,0,4.7,4.5,4.5,4.5,4.5,4.6,19,27,71815
2016,19998,4.5,317,4.9,4976,18045,1,4.6,4.5,4.4,4.4,4.6,4.6,25,32,74430
2019,23845,4.9,275,4.7,2882,19064,1,4.8,4.8,4.9,4.8,4.9,4.9,0,38,29879
2008,11995,4.6,79,3.8,15,8619,2,4.7,4.4,4.7,4.5,4.6,4.7,17,22,90958
2019,38310,4.6,133,4.8,4649,8691,0,4.8,4.6,4.5,4.3,4.7,4.5,19,28,14494
2019,56998,4.7,55,4.9,692,7470,1,5.0,4.9,4.9,4.4,4.7,4.6,20,26,18031
2020,30885,4.5,16,4.8,557,12590,2,4.5,4.6,4.5,4.4,4.7,4.4,24,34,29085
2006,11995,4.7,57,4.7,92,7762,2,4.7,4.5,4.6,4.7,4.4,4.9,18,24,96442
2019,44718,4.5,3,2.8,40,11023,0,5.0,4.7,5.0,3.7,4.0,4.0,18,25,38336
2019,27977,4.7,279,4.8,1254,5301,1,4.8,4.7,4.6,4.7,4.7,4.8,26,33,12679
2019,23990,4.7,279,4.4,26,2382,0,4.8,4.7,4.6,4.7,4.7,4.8,26,33,10460
2020,72735,4.9,1,4.6,3551,91204,0,5.0,5.0,5.0,4.0,5.0,5.0,18,25,6626
2019,26496,4.5,136,2.5,22,91204,0,4.6,4.7,4.3,4.5,4.6,4.5,21,29,28601
2021,59998,4.9,9,4.8,131,93292,1,4.8,4.9,4.8,4.8,5.0,5.0,18,25,10932
2020,48998,4.7,67,4.8,131,93292,1,4.8,4.7,4.8,4.5,4.9,4.8,19,26,11843
2019,29875,4.8,540,4.8,450,89149,1,4.8,4.8,4.7,4.7,4.8,4.8,28,34,21868
2012,72998,4.8,37,4.8,1,94538,0,4.5,4.7,5.0,4.5,4.9,4.8,18,25,41198
2019,33185,4.8,40,2.5,55,94588,1,4.8,4.8,4.8,4.5,4.8,4.7,23,34,35825
2015,20955,4.8,61,4.4,1071,94544,1,4.8,4.7,4.8,4.6,4.8,4.8,20,29,102893
2018,31492,4.9,34,4.0,116,85023,2,4.9,4.9,4.9,4.7,4.9,4.9,24,31,64403
2017,27575,4.8,334,4.3,1366,85015,0,4.8,4.8,4.7,4.6,4.8,4.8,19,26,16929
2018,29499,4.7,445,4.7,916,85260,1,4.8,4.7,4.6,4.7,4.7,4.8,25,32,47445
2018,27499,4.8,270,4.4,250,80401,1,4.8,4.8,4.7,4.8,4.8,4.8,25,31,37852
2015,34999,4.9,13,2.3,16,98499,0,5.0,4.9,4.9,4.8,4.9,4.9,17,24,56557
2020,62787,4.7,53,4.8,780,98424,0,4.8,4.8,4.8,4.4,4.7,4.7,20,26,10422
